"","seqnames","start","end","width","strand","location","location.1","name","score","a_counts","a_total","b_counts","b_total","a_mod_percentages","b_mod_percentages","a_pct_modified","b_pct_modified","map_pvalue","effect_size","balanced_map_pvalue","balanced_effect_size","pct_a_samples","pct_b_samples","replicate_map_pvalues","replicate_effect_sizes","gene_id","gene_id_strand","gene_description"
"11","chr1",227972403,227972404,2,"*","chr1:227972403-227972404","chr1:227972403-227972404",".",-0.090499134351262,"h:2,m:119",153,"h:1,m:118",143,"h:1.31,m:77.78","h:0.70,m:82.52",0.7908497,0.8321678,1,-0.0416272916272916,0.032836073311126,-0.126640926640927,75,100,"-","-",NA,NA,NA
"12","chr1",228003294,228003295,2,"*","chr1:228003294-228003295","chr1:228003294-228003295",".",4.2514373303668,"h:4,m:85",212,"h:0,m:53",177,"h:1.89,m:40.09","h:0.00,m:29.94",0.4198113,0.29943502,0.154960789091777,0.11659333752357,0.0191562588047542,0.139849151477058,100,100,"1,1,0.0019870648067255455,0.29131747508098027","0.05130784708249497,-0.01254901960784316,0.35310421286031046,0.21076923076923076",NA,NA,NA
"13","chr1",228003529,228003530,2,"*","chr1:228003529-228003530","chr1:228003529-228003530",".",3.78719081542181,"h:9,m:117",161,"h:5,m:131",152,"h:5.59,m:72.67","h:3.29,m:86.18",0.7826087,0.8947368,0.0309020939135878,-0.110953058321479,0.043588094978437,-0.111664295874822,100,100,"1,0.02512246513677794,1,0.34266503435366913","-0.05408163265306121,-0.17874396135265702,-0.06486486486486487,-0.1574212893553224",NA,NA,NA
"14","chr1",228004001,228004002,2,"*","chr1:228004001-228004002","chr1:228004001-228004002",".",2.02488655147602,"h:1,m:57",169,"h:1,m:70",151,"h:0.59,m:33.73","h:0.66,m:46.36",0.34319526,0.47019866,0.047341927359811,-0.125604080902094,0.0450065200398326,-0.121621621621622,100,100,"1,0.16056215915219252,0.40843714207036935,1","-0.06140350877192985,-0.18333333333333335,-0.16057233704292523,-0.08602150537634412",NA,NA,NA
"15","chr1",228004225,228004226,2,"*","chr1:228004225-228004226","chr1:228004225-228004226",".",2.2045081019657,"h:0,m:39",122,"h:0,m:53",112,"h:0.00,m:31.97","h:0.00,m:47.32",0.31967214,0.4732143,0.0765239903492651,-0.153542154566745,0.0467590520024052,-0.14702380952381,75,100,"-","-","RNA5S1_21","-","RNA, 5S ribosomal 1"
"16","chr2",92527102,92527103,2,"*","chr2:92527102-92527103","chr2:92527102-92527103",".",4.04483407665001,"h:1,m:62",88,"h:1,m:51",104,"h:1.14,m:70.45","h:0.96,m:49.04",0.71590906,0.5,0.0102235148076528,0.215909090909091,0.0046738927017563,0.234554597701149,75,75,"0.30507239290155136,0.2717862408341829,0.0384441548945608","0.20454545454545459,0.16666666666666663,0.3517241379310345",NA,NA,NA
"17","chr2",92658981,92658982,2,"*","chr2:92658981-92658982","chr2:92658981-92658982",".",1.35561544854542,"h:1,m:24",78,"h:1,m:21",114,"h:1.28,m:30.77","h:0.88,m:18.42",0.32051283,0.19298245,0.126787209392744,0.122596153846154,0.035570573165501,0.164262820512821,75,75,"1,0.2797898206697366,0.16895981489962947","0.014951121334100093,0.18115942028985504,0.2571428571428572",NA,NA,NA
"18","chr2",92666286,92666287,2,"*","chr2:92666286-92666287","chr2:92666286-92666287",".",3.15152753921308,"a:2",87,"a:12",101,"a:2.30","a:11.88",0.022988506,0.11881188,1,-0.0915948275862068,0.011173362672044,-0.11242816091954,75,75,"1,1,0.0444657902303946","-0.003952569169960479,-0.08333333333333333,-0.25",NA,NA,NA
"19","chr2",92845700,92845701,2,"*","chr2:92845700-92845701","chr2:92845700-92845701",".",2.80934205158263,"a:33",122,"a:24",161,"a:27.05","a:14.91",0.2704918,0.14906833,0.0629366510511623,0.123397435897436,0.0222987536291248,0.143429487179487,100,75,"-","-",NA,NA,NA
"20","chr2",92850119,92850120,2,"*","chr2:92850119-92850120","chr2:92850119-92850120",".",2.15182754843448,"a:8",130,"a:22",156,"a:6.15","a:14.10",0.06153846,0.14102565,1,-0.0881410256410256,0.0112183272036223,-0.107371794871795,100,75,"-","-",NA,NA,NA
"21","chr3",91352103,91352104,2,"*","chr3:91352103-91352104","chr3:91352103-91352104",".",2.93659166843929,"a:16",84,"a:9",125,"a:19.05","a:7.20",0.1904762,0.072,0.114226290647684,0.117559523809524,0.016628853825325,0.126488095238095,75,75,"1,0.1262711151069339,0.2115069194214802","0.05415860735009673,0.15701219512195122,0.14285714285714285",NA,NA,NA
"22","chr3",91447689,91447690,2,"*","chr3:91447689-91447690","chr3:91447689-91447690",".",1.30679586763529,"h:1,m:62",65,"h:1,m:68",78,"h:1.54,m:95.38","h:1.28,m:87.18",0.9692308,0.88461536,1,0.0846153846153846,0.0224123754175882,0.134920634920635,75,75,"1,1,0.2802687682245573","0.030303030303030276,0.08333333333333337,0.19047619047619047",NA,NA,NA
"23","chr4",50012885,50012886,2,"*","chr4:50012885-50012886","chr4:50012885-50012886",".",3.35085587074354,"h:17,m:175",237,"h:22,m:246",299,"h:7.17,m:73.84","h:7.36,m:82.27",0.8101266,0.89632106,1,-0.0898148148148147,0.038354901393514,-0.116666666666667,100,100,"0.19367903634895453,0.08287638568935793,0.17485471260903884,1","-0.13618157543391185,-0.10906837430283,-0.1265993265993266,-0.02360106585458699",NA,NA,NA
"24","chr4",50042653,50042654,2,"*","chr4:50042653-50042654","chr4:50042653-50042654",".",2.78475144627396,"h:2,m:81",89,"h:5,m:91",117,"h:2.25,m:91.01","h:4.27,m:77.78",0.9325843,0.82051283,0.0627404597880813,0.108510195588847,0.0139020802481497,0.136973180076628,75,75,"1,0.13309484815594902,0.24141389108172828","0.01830663615560635,0.17222222222222217,0.15652173913043477",NA,NA,NA
"25","chr4",50043420,50043421,2,"*","chr4:50043420-50043421","chr4:50043420-50043421",".",4.59591603291318,"a:17",99,"a:7",144,"a:17.17","a:4.86",0.17171717,0.048611112,0.0061258188728169,0.125420875420875,0.0036024093399309,0.124579124579125,75,75,"1,0.0367879046716523,0.02422754329312096","0.012477718360071305,0.130662477088243,0.25",NA,NA,NA
"26","chr4",50298798,50298799,2,"*","chr4:50298798-50298799","chr4:50298798-50298799",".",3.37373303425704,"h:1,m:160",183,"h:0,m:187",238,"h:0.55,m:87.43","h:0.00,m:78.57",0.8797814,0.78571427,1,0.0962962962962962,0.0346665583853238,0.134259259259259,100,100,"1,1,0.059518131074846305,0.1376734093801605","-0.011904761904761862,0.06756756756756754,0.27234042553191495,0.18461538461538463",NA,NA,NA
"27","chr4",55065343,55065344,2,"*","chr4:55065343-55065344","chr4:55065343-55065344",".",5.38274988187652,"a:19",136,"a:5",154,"a:13.97","a:3.25",0.13970588,0.032467533,1,0.10462962962963,0.0018537581447586,0.122222222222222,100,75,"-","-",NA,NA,NA
"28","chr5",733696,733697,2,"*","chr5:733696-733697","chr5:733696-733697",".",3.87633916133598,"h:0,m:4",109,"h:0,m:17",112,"h:0.00,m:3.67","h:0.00,m:15.18",0.036697246,0.15178572,0.0044555223715409,-0.115088466579292,0.0016352905273977,-0.124338624338624,75,100,"-","-","ZDHHC11","-","zinc finger DHHC-type containing 11"
"29","chr5",17474149,17474150,2,"*","chr5:17474149-17474150","chr5:17474149-17474150",".",3.68599505141111,"h:0,m:8",102,"h:0,m:18",76,"h:0.00,m:7.84","h:0.00,m:23.68",0.078431375,0.23684211,0.0473614340921113,-0.158410732714138,0.0132129754808786,-0.167843137254902,75,75,"0.1730995555270884,0.6083789354856728,0.06229538235801957","-0.18023255813953487,-0.11486486486486486,-0.20833333333333334",NA,NA,NA
"30","chr5",17475379,17475380,2,"*","chr5:17475379-17475380","chr5:17475379-17475380",".",2.91942379955066,"a:20",109,"a:5",81,"a:18.35","a:6.17",0.18348624,0.061728396,0.0358612029651385,0.121757843470382,0.0075145482392575,0.145061728395062,75,75,"0.4095553105791522,1,0.05732922975460459","0.11819887429643527,0.049872122762148335,0.27056277056277056","TAF11L5_24","+","TATA-box binding protein associated factor 11 like 5"
"31","chr5",47066622,47066623,2,"*","chr5:47066622-47066623","chr5:47066622-47066623",".",5.53707703897931,"h:1,m:17",109,"h:0,m:5",135,"h:0.92,m:15.60","h:0.00,m:3.70",0.16513762,0.037037037,0.0011109663441097,0.128100577641862,0.0035768736824503,0.109259259259259,75,75,"0.06229367373428245,0.019481328163707363,1","0.19238095238095237,0.14965277777777777,0.012962962962962968",NA,NA,NA
"32","chr5",47275137,47275138,2,"*","chr5:47275137-47275138","chr5:47275137-47275138",".",1.60166272914898,"h:1,m:62",136,"h:2,m:98",171,"h:0.74,m:45.59","h:1.17,m:57.31",0.4632353,0.5847953,0.0673701101237083,-0.12156002751978,0.0336391998078458,-0.139005602240896,100,100,"0.3901485579102293,0.20930589250189086,0.18906788122019227,1","-0.1526315789473684,-0.15890083632019114,-0.24592391304347827,0.07078507078507074",NA,NA,NA
"33","chr5",49894298,49894299,2,"*","chr5:49894298-49894299","chr5:49894298-49894299",".",3.01689651746096,"a:16",116,"a:8",163,"a:13.79","a:4.91",0.13793103,0.049079753,1,0.0888512798815316,0.000873899068566,0.117872807017544,75,100,"-","-",NA,NA,NA
"34","chr5",50948965,50948966,2,"*","chr5:50948965-50948966","chr5:50948965-50948966",".",2.00870014359958,"h:5,m:30",105,"h:4,m:17",107,"h:4.76,m:28.57","h:3.74,m:15.89",0.33333334,0.19626169,0.114561554308134,0.137071651090343,0.0478561501232947,0.123809523809524,75,75,"1,0.20660344848844042,0.30335431008470354","0.05769230769230771,0.17400419287211744,0.1566951566951567",NA,NA,NA
"35","chr5",50959206,50959207,2,"*","chr5:50959206-50959207","chr5:50959206-50959207",".",0.674181477164666,"h:0,m:98",157,"h:0,m:93",174,"h:0.00,m:62.42","h:0.00,m:53.45",0.6242038,0.5344828,1,0.0893201007258184,0.0432224846355475,0.14221824686941,100,100,"0.14885565470177334,1,0.1616448429072613,0.2850835954345739","0.1907051282051282,-0.08101686861487284,0.2473118279569892,0.21122994652406413",NA,NA,NA
"36","chr5",70982974,70982975,2,"*","chr5:70982974-70982975","chr5:70982974-70982975",".",2.62246330156751,"a:6",122,"a:17",123,"a:4.92","a:13.82",0.04918033,0.13821138,1,-0.0890310542449686,0.0042476808393714,-0.108333333333333,75,100,"-","-","LOC124900996","-","uncharacterized LOC124900996"
"37","chr5",70986004,70986005,2,"*","chr5:70986004-70986005","chr5:70986004-70986005",".",3.8915339579126,"a:18",109,"a:44",135,"a:16.51","a:32.59",0.16513762,0.32592592,0.0182798673599505,-0.160788311247027,0.0087989891056791,-0.154882154882155,75,100,"-","-","LOC101929599","+","putative POM121-like protein 1-like pseudogene"
"38","chr5",71273794,71273795,2,"*","chr5:71273794-71273795","chr5:71273794-71273795",".",6.09472214959158,"h:0,m:99",157,"h:0,m:128",157,"h:0.00,m:63.06","h:0.00,m:81.53",0.6305733,0.81528664,0.0010770877097847,-0.184713375796178,0.001584707701612,-0.179487179487179,100,100,"0.010959118652987081,0.3266830378622721,1,0.11853726558639499","-0.28409090909090906,-0.13181818181818183,-0.064039408866995,-0.25596816976127323","GUSBP16","+","GUSB pseudogene 16"
"39","chr5",71284108,71284109,2,"*","chr5:71284108-71284109","chr5:71284108-71284109",".",5.51797442825341,"a:15",90,"a:3",105,"a:16.67","a:2.86",0.16666667,0.028571429,0.0015348803220297,0.138095238095238,0.003055137063355,0.125213675213675,75,100,"-","-","GUSBP16","+","GUSB pseudogene 16"
"40","chr5",71285121,71285122,2,"*","chr5:71285121-71285122","chr5:71285121-71285122",".",4.44546790350711,"h:0,m:29",109,"h:1,m:61",136,"h:0.00,m:26.61","h:0.74,m:44.85",0.26605505,0.45588234,0.0113726475331598,-0.189827307069617,0.00931542200949,-0.181917211328976,100,100,"0.4173286770987589,0.053488634871212276,0.653347390664083,0.42491121443226615","-0.16008771929824558,-0.2579365079365079,-0.12384716732542816,-0.1827586206896552","GUSBP16","+","GUSB pseudogene 16"
"41","chr5",71448576,71448577,2,"*","chr5:71448576-71448577","chr5:71448576-71448577",".",3.82103721426461,"h:1,m:102",109,"h:1,m:77",96,"h:0.92,m:93.58","h:1.04,m:80.21",0.94495416,0.8125,0.0119521221130738,0.132454128440367,0.0054471645838639,0.153935185185185,75,75,"0.3504716967622836,0.1052941233122801,0.4066191870068291","0.1333333333333333,0.12337662337662336,0.13526570048309172","NAIP","-","NLR family apoptosis inhibitory protein"
"42","chr5",71705461,71705462,2,"*","chr5:71705461-71705462","chr5:71705461-71705462",".",2.34007373924419,"a:9",99,"a:21",102,"a:9.09","a:20.59",0.09090909,0.20588236,0.700990419232671,-0.114973262032085,0.02757279578189,-0.115864527629233,75,75,"0.23583797250372576,0.7675817122586752,1","-0.15089514066496162,-0.1142857142857143,-0.07190635451505017","GUSBP17","-","GUSB pseudogene 17"
"43","chr6",58363428,58363429,2,"*","chr6:58363428-58363429","chr6:58363428-58363429",".",1.7300160933508,"h:0,m:12",79,"h:0,m:25",85,"h:0.00,m:15.19","h:0.00,m:29.41",0.15189873,0.29411766,0.0486322788647027,-0.142218912881608,0.042765380625285,-0.155677655677656,75,75,"1,0.12855962462364054,0.14935857014712162","0.015873015873015872,-0.19747899159663862,-0.26190476190476186",NA,NA,NA
"44","chr6",58645954,58645955,2,"*","chr6:58645954-58645955","chr6:58645954-58645955",".",2.20363535408876,"h:0,m:64",120,"h:0,m:53",138,"h:0.00,m:53.33","h:0.00,m:38.41",0.53333336,0.38405797,0.182662900389309,0.143429487179487,0.0348386053001408,0.173076923076923,100,75,"-","-",NA,NA,NA
"45","chr6",132896292,132896293,2,"*","chr6:132896292-132896293","chr6:132896292-132896293",".",6.50447445015368,"a:3",86,"a:22",109,"a:3.49","a:20.18",0.034883723,0.20183486,0.001137494159256,-0.163032945736434,0.000535142577755,-0.163690476190476,75,100,"-","-","ENPP3","+","ectonucleotide pyrophosphatase/phosphodiesterase 3"
"46","chr7",56578116,56578117,2,"*","chr7:56578116-56578117","chr7:56578116-56578117",".",6.47223031122758,"h:1,m:169",184,"h:4,m:142",182,"h:0.54,m:91.85","h:2.20,m:78.02",0.92391306,0.8021978,0.0106618425560014,0.123365300784656,0.0242696718172822,0.119442022667829,100,100,"0.09697371120642363,1,1,0.00448758886748956","0.12165725047080977,0.08601234830743021,-0.01388888888888884,0.3214285714285714",NA,NA,NA
"47","chr7",56583430,56583431,2,"*","chr7:56583430-56583431","chr7:56583430-56583431",".",2.239930074293,"a:36",91,"a:24",99,"a:39.56","a:24.24",0.3956044,0.24242425,0.0765508517199329,0.153180153180153,0.0356349830784817,0.167676767676768,75,75,"0.22399743156172888,0.23672815549870227,0.567223081977422","0.2032967032967033,0.15833333333333335,0.14586255259467035",NA,NA,NA
"48","chr7",56584857,56584858,2,"*","chr7:56584857-56584858","chr7:56584857-56584858",".",3.40178521879074,"h:2,m:104",118,"h:3,m:110",147,"h:1.69,m:88.14","h:2.04,m:74.83",0.89830506,0.76870745,0.0176117512879319,0.129597601752565,0.0197355018360364,0.131944444444444,75,100,"-","-",NA,NA,NA
"49","chr7",58678412,58678413,2,"*","chr7:58678412-58678413","chr7:58678412-58678413",".",2.79325413080284,"h:0,m:15",95,"h:0,m:6",119,"h:0.00,m:15.79","h:0.00,m:5.04",0.15789473,0.05042017,0.013380103716189,0.107474568774878,0.0050511109872912,0.116054875787913,75,100,"-","-",NA,NA,NA
"50","chr7",59727329,59727330,2,"*","chr7:59727329-59727330","chr7:59727329-59727330",".",2.98222795903285,"a:10",127,"a:26",141,"a:7.87","a:18.44",0.07874016,0.18439716,1,-0.103752001830245,0.0071027118897012,-0.114976958525346,100,100,"1,0.284954841880712,1,0.13439467328529472","-0.016363636363636358,-0.14216634429400388,-0.06982872200263504,-0.18787878787878787",NA,NA,NA
"51","chr7",60546471,60546472,2,"*","chr7:60546471-60546472","chr7:60546471-60546472",".",1.98103133653774,"h:4,m:62",139,"h:3,m:115",202,"h:2.88,m:44.60","h:1.49,m:56.93",0.47482014,0.5841584,0.390771481576015,-0.105274629468178,0.0442157440280632,-0.138840453356582,75,75,"1,0.16676387871865667,1","-0.09480519480519489,-0.19833333333333336,-0.09473684210526312",NA,NA,NA
"52","chr7",60892624,60892625,2,"*","chr7:60892624-60892625","chr7:60892624-60892625",".",5.95414293612953,"h:4,m:162",242,"h:4,m:162",311,"h:1.65,m:66.94","h:1.29,m:52.09",0.6859504,0.53376204,0.029364090907654,0.151700087183958,0.0185234942233924,0.16259808195292,100,100,"0.024016019140392357,0.015432668947151429,0.3558376874840666,1","0.23404255319148937,0.18231707317073165,0.17398794142980195,0.026600985221674867",NA,NA,NA
"53","chr7",60899968,60899969,2,"*","chr7:60899968-60899969","chr7:60899968-60899969",".",2.03015998403282,"h:0,m:22",82,"h:0,m:41",94,"h:0.00,m:26.83","h:0.00,m:43.62",0.2682927,0.43617022,0.0450904168969652,-0.167877529839128,0.0398611696602677,-0.170848267622461,75,75,"1,0.06536104350066893,0.6831262561384405","-0.08563899868247696,-0.26765475152571927,-0.12424242424242421",NA,NA,NA
"54","chr7",60924133,60924134,2,"*","chr7:60924133-60924134","chr7:60924133-60924134",".",4.19314156517078,"h:1,m:169",214,"h:4,m:177",266,"h:0.47,m:78.97","h:1.50,m:66.54",0.7943925,0.68045115,0.0841634646991654,0.115954664341761,0.0424203406404584,0.134917175239756,100,100,"1,0.07369199912808051,0.1400508562746075,1","0.06009957325746795,0.1393274462581393,0.23487179487179477,0.09606481481481477",NA,NA,NA
"55","chr7",61387881,61387882,2,"*","chr7:61387881-61387882","chr7:61387881-61387882",".",3.63316033635169,"h:0,m:69",86,"h:2,m:90",142,"h:0.00,m:80.23","h:1.41,m:63.38",0.8023256,0.64788735,0.0405540558657954,0.154438257451687,0.0057613750534446,0.199594731509625,75,75,"1,0.01848635768445712,0.33944100393930043","0.06854838709677424,0.28466771323914175,0.19074333800841514",NA,NA,NA
"56","chr7",62833184,62833185,2,"*","chr7:62833184-62833185","chr7:62833184-62833185",".",2.08827676148155,"h:6,m:107",139,"h:4,m:124",181,"h:4.32,m:76.98","h:2.21,m:68.51",0.81294966,0.70718235,0.115699375836224,0.105056669572799,0.0451879916604384,0.132083696599826,100,100,"0.04332541654470299,1,0.5437377533361247,0.44195464443858906","0.23093220338983056,0.015625,0.15367965367965364,0.120978120978121",NA,NA,NA
"57","chr7",62833279,62833280,2,"*","chr7:62833279-62833280","chr7:62833279-62833280",".",3.26294553187904,"h:6,m:56",150,"h:5,m:41",173,"h:4.00,m:37.33","h:2.89,m:23.70",0.41333333,0.26589596,0.0242335110301033,0.147776809067132,0.0064490908740372,0.169354838709677,100,75,"-","-",NA,NA,NA
"58","chr7",63022180,63022181,2,"*","chr7:63022180-63022181","chr7:63022180-63022181",".",1.38398425939863,"a:29",110,"a:20",122,"a:26.36","a:16.39",0.26363635,0.16393442,1,0.0997019374068554,0.0199200299083744,0.136111111111111,100,75,"-","-",NA,NA,NA
"59","chr7",63057099,63057100,2,"*","chr7:63057099-63057100","chr7:63057099-63057100",".",2.18768978933593,"h:11,m:60",105,"h:10,m:124",175,"h:10.48,m:57.14","h:5.71,m:70.86",0.6761905,0.7657143,1,-0.0873230373230372,0.043047636997616,-0.142921492921493,75,100,"-","-",NA,NA,NA
"60","chr7",63370080,63370081,2,"*","chr7:63370080-63370081","chr7:63370080-63370081",".",2.2944994169726,"h:0,m:42",89,"h:1,m:58",93,"h:0.00,m:47.19","h:1.08,m:62.37",0.47191012,0.6344086,0.0972058382485586,-0.162498489790987,0.0165386450113352,-0.209121245828699,75,75,"0.22318376871009163,1,0.04125793099553451","-0.2451612903225806,-0.016547159404302292,-0.37",NA,NA,NA
"61","chr7",63427394,63427395,2,"*","chr7:63427394-63427395","chr7:63427394-63427395",".",4.62037022856771,"h:1,m:18",98,"h:1,m:8",149,"h:1.02,m:18.37","h:0.67,m:5.37",0.19387755,0.060402684,0.012095511705277,0.133066740209597,0.0040511694067227,0.143494897959184,75,75,"0.08666847627811956,1,0.20568717644880885","0.2002635046113307,0.08844339622641509,0.17012987012987013",NA,NA,NA
"62","chr7",145488963,145488964,2,"*","chr7:145488963-145488964","chr7:145488963-145488964",".",4.85464945093304,"a:1",88,"a:11",88,"a:1.14","a:12.50",0.011363637,0.125,0.0151746232553101,-0.113636363636364,0.0253958333008673,-0.114942528735632,75,75,"0.22033341872132822,1,0.2509115772957791","-0.14285714285714285,-0.09090909090909091,-0.11481481481481481",NA,NA,NA
"63","chr8",44287623,44287624,2,"*","chr8:44287623-44287624","chr8:44287623-44287624",".",2.79972945021615,"h:2,m:23",146,"h:4,m:63",233,"h:1.37,m:15.75","h:1.72,m:27.04",0.17123288,0.28755364,0.0501364984123059,-0.118818681318681,0.0368820173850748,-0.127060439560439,100,100,"0.002961218435059535,1,1,1","-0.3040123456790123,-0.09275929549902151,-0.038461538461538436,-0.04037267080745341",NA,NA,NA
"64","chr8",44310131,44310132,2,"*","chr8:44310131-44310132","chr8:44310131-44310132",".",3.2600033563516,"h:4,m:97",141,"h:3,m:171",209,"h:2.84,m:68.79","h:1.44,m:81.82",0.71631205,0.83253586,0.0977542004150328,-0.122252747252747,0.0267632253021333,-0.150412087912088,100,100,"0.3168082577469241,1,0.007960187388854623,1","-0.1461538461538462,-0.08629075842190592,-0.2666666666666667,-0.059523809523809534",NA,NA,NA
"65","chr8",44599693,44599694,2,"*","chr8:44599693-44599694","chr8:44599693-44599694",".",2.37288012288241,"h:7,m:110",137,"h:4,m:108",119,"h:5.11,m:80.29","h:3.36,m:90.76",0.8540146,0.9411765,1,-0.0851648351648352,0.0218535739176738,-0.112637362637363,100,75,"-","-",NA,NA,NA
"66","chr8",44610085,44610086,2,"*","chr8:44610085-44610086","chr8:44610085-44610086",".",6.83106140487047,"h:3,m:20",142,"h:0,m:55",191,"h:2.11,m:14.08","h:0.00,m:28.80",0.16197184,0.28795812,0.0348272876156397,-0.127747252747253,0.0348272876156397,-0.127747252747253,100,100,"0.2135623970459237,0.3952531575860344,1,0.5266002529959835","-0.16522366522366522,-0.1064623032311516,-0.0656814449917898,-0.14371980676328502",NA,NA,NA
"67","chr8",86104346,86104347,2,"*","chr8:86104346-86104347","chr8:86104346-86104347",".",4.42154248682635,"a:14",131,"a:28",108,"a:10.69","a:25.93",0.10687023,0.25925925,0.0133571017933825,-0.152472527472527,0.0194763284667371,-0.151785714285714,100,100,"0.12330609642961896,0.5774871483423205,0.30157675248902954,0.7263888917626053","-0.19047619047619047,-0.11623931623931623,-0.19696969696969696,-0.11363636363636365",NA,NA,NA
"68","chr8",86388555,86388556,2,"*","chr8:86388555-86388556","chr8:86388555-86388556",".",2.6344762143346,"a:18",101,"a:35",108,"a:17.82","a:32.41",0.17821783,0.32407406,0.0580152838719311,-0.148705255140899,0.0423910881855004,-0.14559052059052,75,100,"-","-",NA,NA,NA
"69","chr8",86392962,86392963,2,"*","chr8:86392962-86392963","chr8:86392962-86392963",".",1.73759858387152,"a:6",87,"a:14",83,"a:6.90","a:16.87",0.06896552,0.16867469,1,-0.0997091815538014,0.0381357176821258,-0.115368241805023,75,75,"0.6432077337324165,1,0.4320965831737543","-0.11272141706924316,-0.09300476947535771,-0.11538461538461539",NA,NA,NA
"70","chr8",86607246,86607247,2,"*","chr8:86607246-86607247","chr8:86607246-86607247",".",4.54788750100204,"a:33",178,"a:13",174,"a:18.54","a:7.47",0.18539326,0.07471264,0.116497633960644,0.110576923076923,0.0376359626379364,0.129120879120879,100,100,"1,0.0688155756495468,0.5962120542759756,0.0200297022326691","0.03517241379310346,0.11785714285714285,0.11176470588235295,0.27058823529411763",NA,NA,NA
